Antenna,Power,Point,x,y
1,30,2,400,100
1,30,3,400,200
1,20,4,400,300
1,15,5,400,400
1,25,6,400,500
2,30,6,400,500
2,25,7,400,600
2,10,8,400,700
2,25,9,400,800
2,30,10,400,900
1,30,13,500,100
1,25,14,500,200
1,20,15,500,300
1,20,16,500,400
2,30,16,500,400
1,25,17,500,500
2,30,17,500,500
1,25,18,500,600
2,25,18,500,600
2,15,19,500,700
4,30,19,500,700
2,25,20,500,800
2,30,21,500,900
2,30,22,500,1000
1,30,23,600,0
1,30,24,600,100
1,25,25,600,200
1,25,26,600,300
3,30,26,600,300
1,25,27,600,400
2,30,27,600,400
3,30,27,600,400
1,25,28,600,500
2,25,28,600,500
1,30,29,600,600
2,25,29,600,600
4,30,29,600,600
1,30,30,600,700
2,20,30,600,700
4,30,30,600,700
2,25,31,600,800
4,30,31,600,800
2,25,32,600,900
2,30,33,600,1000
1,30,34,700,0
1,30,35,700,100
1,25,36,700,200
3,30,36,700,200
1,25,37,700,300
3,30,37,700,300
1,25,38,700,400
2,30,38,700,400
3,30,38,700,400
1,25,39,700,500
2,30,39,700,500
2,25,40,700,600
4,30,40,700,600
1,30,41,700,700
2,25,41,700,700
4,30,41,700,700
2,25,42,700,800
4,30,42,700,800
2,30,43,700,900
1,30,45,800,0
1,30,46,800,100
3,30,46,800,100
1,30,47,800,200
3,30,47,800,200
1,25,48,800,300
3,30,48,800,300
1,25,49,800,400
2,30,49,800,400
3,30,49,800,400
1,30,50,800,500
2,30,50,800,500
3,30,50,800,500
4,30,50,800,500
1,30,51,800,600
2,25,51,800,600
4,30,51,800,600
1,30,52,800,700
2,25,52,800,700
4,30,52,800,700
2,30,53,800,800
4,30,53,800,800
2,30,54,800,900
1,30,57,900,100
3,30,57,900,100
1,30,58,900,200
3,30,58,900,200
1,25,59,900,300
3,25,59,900,300
1,25,60,900,400
2,30,60,900,400
3,30,60,900,400
1,30,61,900,500
2,30,61,900,500
3,30,61,900,500
4,30,61,900,500
1,30,62,900,600
2,30,62,900,600
3,25,62,900,600
4,25,62,900,600
1,30,63,900,700
2,25,63,900,700
4,30,63,900,700
2,25,64,900,800
4,25,64,900,800
2,30,65,900,900
4,30,65,900,900
2,30,66,900,1000
3,30,67,1000,0
1,30,68,1000,100
3,30,68,1000,100
1,30,69,1000,200
3,30,69,1000,200
1,30,70,1000,300
3,25,70,1000,300
1,30,71,1000,400
2,30,71,1000,400
3,25,71,1000,400
4,30,71,1000,400
1,30,72,1000,500
2,30,72,1000,500
3,25,72,1000,500
4,30,72,1000,500
1,30,73,1000,600
2,30,73,1000,600
3,30,73,1000,600
4,30,73,1000,600
2,30,74,1000,700
4,25,74,1000,700
2,25,75,1000,800
4,30,75,1000,800
2,30,76,1000,900
4,30,76,1000,900
3,30,78,1100,0
1,30,79,1100,100
3,30,79,1100,100
1,30,80,1100,200
3,30,80,1100,200
1,30,81,1100,300
3,25,81,1100,300
1,30,82,1100,400
3,25,82,1100,400
4,30,82,1100,400
1,30,83,1100,500
2,30,83,1100,500
3,30,83,1100,500
4,30,83,1100,500
2,30,84,1100,600
3,30,84,1100,600
4,25,84,1100,600
2,25,85,1100,700
3,30,85,1100,700
4,25,85,1100,700
2,25,86,1100,800
4,25,86,1100,800
2,30,87,1100,900
4,30,87,1100,900
3,30,89,1200,0
3,30,90,1200,100
1,30,91,1200,200
3,25,91,1200,200
1,30,92,1200,300
3,25,92,1200,300
1,30,93,1200,400
3,25,93,1200,400
4,30,93,1200,400
1,30,94,1200,500
2,30,94,1200,500
3,25,94,1200,500
4,30,94,1200,500
2,30,95,1200,600
3,30,95,1200,600
4,25,95,1200,600
2,30,96,1200,700
3,30,96,1200,700
4,25,96,1200,700
2,30,97,1200,800
4,25,97,1200,800
2,30,98,1200,900
4,30,98,1200,900
3,30,100,1300,0
3,30,101,1300,100
3,25,102,1300,200
1,30,103,1300,300
3,20,103,1300,300
1,30,104,1300,400
3,20,104,1300,400
4,30,104,1300,400
3,25,105,1300,500
4,25,105,1300,500
2,30,106,1300,600
3,30,106,1300,600
4,25,106,1300,600
2,30,107,1300,700
4,20,107,1300,700
4,25,108,1300,800
4,25,109,1300,900
3,30,112,1400,100
3,25,113,1400,200
1,30,114,1400,300
3,20,114,1400,300
3,20,115,1400,400
4,30,115,1400,400
3,25,116,1400,500
4,30,116,1400,500
3,30,117,1400,600
4,25,117,1400,600
4,15,118,1400,700
4,25,119,1400,800
4,30,120,1400,900
3,30,123,1500,100
3,30,124,1500,200
3,20,125,1500,300
3,15,126,1500,400
3,30,127,1500,500
4,30,127,1500,500
3,30,128,1500,600
4,25,128,1500,600
4,10,129,1500,700
4,25,130,1500,800
4,30,131,1500,900
